cik;name;entityType;tickers;exchanges;sic;sicDescription;fiscalYearEnd;category;sp500;nasdaq100;end;shares;form;accn;ativo;pl;div_total;caixa;rec_liq;lucro_bruto;lucro_liq;EBIT;deprec_amort;EBITDA;margem_liq;div_liq;fechamento
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2008-10-31;300113377;10-K;0001047469-09-010861;7007000000;2559000000;4448000000;1405000000;5774000000;795000000;693000000.0;815000000.0;201000000;1016000000.0;12.002078281953585;2.99507874015748;2008-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2009-10-31;300113377;10-K;0001047469-09-010861;7612000000;2506000000;5106000000;2479000000;4481000000;47000000;-31000000.0;7000000.0;162000000;169000000.0;-0.691809863869672;15.544378698224852;2009-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2010-10-31;300113377;10-K;0001047469-10-010499;9696000000;3236000000;6460000000;2649000000;5444000000;566000000;684000000.0;692000000.0;202000000;894000000.0;12.564290962527553;4.262863534675615;2010-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2011-10-31;300113377;10-K;0001047469-11-010124;9057000000;4316000000;4741000000;3527000000;6615000000;1071000000;1012000000.0;1032000000.0;253000000;1285000000.0;15.29856386999244;0.9447470817120622;2011-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2012-10-31;300113377;10-K;0001090872-12-000018;10536000000;5185000000;5351000000;2351000000;6858000000;1119000000;1153000000.0;1384000000.0;301000000;1685000000.0;16.812481773111696;1.7804154302670623;2012-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2013-10-31;300113377;10-K;0001090872-13-000029;10686000000;5289000000;5397000000;2675000000;6782000000;951000000;724000000.0;1276000000.0;372000000;1648000000.0;10.675317015629608;1.6516990291262137;2013-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2014-10-31;300113377;10-K;0001090872-14-000045;10831000000;5301000000;5530000000;3028000000;6981000000;831000000;504000000.0;1322000000.0;384000000;1706000000.0;7.219596046411689;1.466588511137163;2014-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2015-10-31;300113377;10-K;0001090872-15-000051;7479000000;4170000000;3309000000;2003000000;4038000000;522000000;401000000.0;767000000.0;253000000;1020000000.0;9.930658741951461;1.280392156862745;2015-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2016-10-31;300113377;10-K;0001090872-16-000082;7802000000;4246000000;3556000000;2289000000;4202000000;615000000;462000000.0;859000000.0;246000000;1105000000.0;10.99476439790576;1.1466063348416289;2016-10-31
1090872;AGILENT TECHNOLOGIES, INC.;OPERATING;A;NYSE;3826;Laboratory Analytical Instruments;1031;Large accelerated filer;True;False;2017-10-31;300113377;10-K;0001090872-17-000018;8426000000;4835000000;3591000000;2678000000;4472000000;841000000;684000000.0;974000000.0;212000000;1186000000.0;15.295169946332738;0.769814502529511;2017-10-31
